Question,Answer
ab,"from, off"
abbiegen,"to turn off, bend"
die Abbildung,Illustration
aber,but
der Abfall,"waste, rubbish, garbage"
abfahren,to depart
das Abgas,"exhaust, waste gas"
abgeben,to hand in
abhängen,"to take down, uncouple, depend upon"
abhängig,dependent on
abheben,to lift (up)
abholen,to pick up (from a place)
das Abitur (Sg.),school graduation exam
ablehnen,to refuse
abmachen,"to take off, agree"
abnehmen,"to take off, remove, take away, loose weight"
abonnieren,to subscribe
das Abonnement,subscription
der Abschluss,school graduation or result
der Absender,sender
die Absicht,intention
absolut,absolute
abstimmen,to vote
die Abteilung,Department
abwaschen,wash up
ach,Oh
achten auf,to pay attention (to)
die Achtung (Sg.),"Danger, Attention"
die Adresse,address
die Agentur,Agency
ähnlich,similar
aha,Aha
die Ahnung,"idea, suspicion"
die Aktion,action
aktiv,active
die Aktivität,activity
aktuell,current (now)
akzeptieren,to accept
der Alarm,alarm
der Alkohol,alcohol
all-,everything
allein,alone
aller,all
allerdings,"admittedly, certainly"
allgemein,general
der Alltag,daily routine
das Alphabet,alphabet
als,"when, as, than"
als ob,as if
also,"so, therefore"
alt,old
das Alter,age
das Altenheim,"old people's home, retirement home"
das Altersheim,"old people's home, retirement home"
an,on
die Ampel,traffic light
das Amt,office
sich amüsieren,to amuse oneself
analysieren,to analyse
anbieten,to offer
das Angebot,offer
ander-,other
andererseits,on the other hand
ändern,to change
die Änderung,"modification, change"
anders,different
anerkennen,to recognize
anfangen,to begin
der Anfang,beginning
anfangs,at/ in the beginning
"die Angabe,-n","information, specification"
angeben,to boast
der Angehörige,"relative (cousin, etc)"
angenehm,pleasant
die Angst,fear
ängstlich,"nervous, worried, timid"
anhaben,to have on
ankommen,to arrive
die Ankunft,arrival
die Anlage,"music system, attachment, investment"
anmelden,"to announce, make an appointment"
die Anmeldung,"appointment, announcement"
die Anrede,form of address
anrufen,"to telephone, call, call out"
der Anruf,call
der Anrufbeantworter,answering machine
die Ansage,announcement
anschaffen,to purchase
anschließen,to connect
der Anschluss,"connection (TV, internet)"
anschnallen,"to strap in, fasten seat belt"
ansehen,to look at
ansprechen,to speak to
der Anspruch,claim
anstellen,"to turn on, employ"
der Angestellte,employee
sich anstrengen,"to tire oneself out, strain oneself"
anstrengend,exhausting
der Antrag,"application, proposal, motion"
anwenden,"to use, employ, apply"
anwesend,present
antworten,to answer (to a person)
die Antwort,answer
der Anwalt,lawyer
anzeigen,"to report (to police), show, announce"
die Anzeige,"advertisement, announcement"
anziehen,to dress
der Anzug,suit
das Apartment,apartment
der Apfel,apple
die Apotheke,pharmacy
der Apparat,piece of apparatus
der Appetit,appetite
die Aprikose,apricot
arbeiten,to work
die Arbeit,work
der Arbeiter,worker
der Arbeitgeber,employer
der Arbeitnehmer,employee
die Arbeitserlaubnis,work permit
arbeitslos,unemployed
die Arbeitslosigkeit,unemployment
der Arbeitsplatz,"workplace, job, place of work"
die Arbeitsstelle,"workplace, job, place of work"
ärgern,to annoy
der Ärger (Sg.),annoyance
ärgerlich,annoying
arm,poor
der Arm,arm
die Art,type
der Artikel,article
der Arzt,doctor
das Asyl,asylum
atmen,to breathe
auch,also
auf,"on, in, on, up"
der Aufenthalt,"stay, delay, stop"
auffallen,"to be noticeable, make an impression"
die Aufforderung,"order, invitation"
aufführenührt auführte auführt,"to perform, list, specify"
die Aufgabe,"task, exercise"
aufgeben,"to give in, give up"
aufhalten,"to detain, check, hold/ keep open"
aufheben,"to raise, lift, wind up, abolish"
aufhören,to stop
auflösen,to dissolve
aufmerksam,attentive
aufnehmen,"to receive, pick up, admit, include"
die Aufnahme,"picture, recording, admission"
aufpassen,to be careful
aufräumen,to tidy up
aufregen,to excite
auf sein,to be up
aufstehen,to get up
der Auftrag,"order, commission, mission"
auftreten,occur
aufwachen,to wake up
aufwärts,upwards
der Aufzug,lift
das Auge,eye
der Augenblick,moment
aus,"out, leave, from, made of"
die Ausbildung,"education, training, instruction"
der Ausbildungsplatz,"training place, apprenticeship"
ausgebildet,"educated, trained"
ausdrucken,print
der Ausdruck,"expression, printout"
auseinander,apart
die Ausfahrt,exit
ausfallen,"canceled, fall out, drop out"
der Ausflug,"excursion, trip"
ausfüllenüllt ausüllte ausüllt,"complete, fill"
ausgeben,spend
die Ausgabe,"expenses, output, distribution"
ausgehen,go out
der Ausgang,exit
die Aushilfe,"assistant, temporary help"
die Auskunft,"information, information desk"
das Ausland (Sg.),"foreign countries, abroad"
der Ausländer,foreigner
ausländisch,foreign
ausmachen,to turn off
die Ausnahme,exception
ausreichend,"sufficient, enough"
ausrichten,"to align, adjust, convey a message"
ausschließen,"to exclude, rule out"
ausschließlich,exclusive
aussehen,"to seem, appear, look"
aus sein,be off
außen,"outside, outwards"
außer,except for
äußerlich,external
außerdem,besides
außerhalb,"outside, beyond"
die Aussicht,"view, perspective"
aussprechen,to pronounce
die Aussprache (Sg.),pronunciation
ausstellen,"to exhibit, show"
die Ausstellung,exhibition
(sich etwas) aussuchen,"to select, pick out"
auswählen,"to select, choose"
der Ausweis,identification
ausziehen,to undress
der Auszubildende,trainee
das Auto,car
die Autobahn,motorway
der Automat,dispensing machine
automatisch,automatic
das Baby,baby
der Babysitter,baby sitter
backen,to bake
die Bäckerei,bakery
baden,to bathe
das Bad,bath
die Badewanne,bathtub
die Bahn,train
die S-Bahn,city (overground) train
die Straßenbahn,tram
die U-Bahn,underground train
der Bahnhof,railway station
der Bahnsteig,platform
bald,soon
der Balkon,balcony
der Ball,ball
die Banane,banana
die Bank,bank
die Bankleitzahl,bank code number
bar,cash
das Bargeld,cash
der Bart,beard
die Batterie,battery
der Bauch,stomach
bauen,to build
der Bau,building
die Baustelle,building site
der Bauer,farmer
der Baum,tree
beachten,to observe
der Beamte,official
beantragen,"to apply for, ask for"
beantworten,to answer (a thing)
sich bedanken,to thank
bedeuten,to mean
bedienen,to serve
die Bedienungsanleitung,operating instructions
die Bedingung,"conditions, terms"
sich beeilen,to hurry
beenden,to finish
sich befinden,to be located
befreit,"free from, excepted from"
befriedigend,satisfying
begegnen,to encounter
begeistert,excited
beginnen,begin
der Beginn (Sg.),beginning
begleiten,to accompany
begrenzt,"limited to, restricted to"
begründenündetündeteündet,to justify
die Begründung,"reason, justification"
begrüßenüßtüßteüßt,to greet
behalten,to keep
behandeln,to treat
behindern,to block
die Behörde,authorities
bei,"near, at, on"
beid-,both
das Bein,leg
beinahe,"almost, nearly"
das Beispiel,example
zum Beispiel,for example
der Beitrag,"contribution, fee, subscription, premium"
bekannt,"well-known, famous"
der Bekannte,"acquaintance, known person"
bekannt geben,to announce publicly
bekommen,"to receive, get"
der Beleg,"receipt, documentary evidence"
beleidigen,to insult
beliebt,"loved, liked a lot"
bemerken,to notice
benötigen,to require
benutzen,to use
das Benzin (Sg.),"petrol (uk), gas (us)"
beobachten,to observe
bequem,comfortable
beraten,to advise
die Beratung,"advice, consultation"
berechnen,to calculate
berechtigt,entitled
der Bereich,area
bereit,ready
bereits,already
der Berg,mountain
berichten,to report
der Bericht,report
der Beruf,profession
beruflich,professional/ vocational
berufstätig,employed
beruhigen,to calm down
berühmt,famous
beschädigen,to damage
beschäftigen,employ
die Beschäftigung,"employment, occupation"
der Bescheid,"information, directions"
Bescheid sagen,to let someone know (tell someone)
Bescheid geben,to let someone know (give someone information)
die Bescheinigung,certificate
beschließen,to decide on
beschränken,"to limit, restrict"
beschreiben,"to describe, write on"
die Beschreibung,description
sich beschweren,to complain
besetzen,to occupy
besichtigen,to view something
besitzen,to own
besonder-,special
besonders,particularly
besorgen,"to acquire, purchase, deal with, take care of"
besprechen,discuss
die Besprechung,"meeting, discussion"
die Besserung (Sg.),recovery
bestätigen,to confirm
die Bestätigung,confirmation
bestellen,to order
bestimmt,"certain, definite"
bestrafen,to punish
besuchen,to visit
der Besuch,visit
sich beteiligen,"to take part, participate"
der Betrag,"amount, sum"
betreuen,to look after
die Betreuung (Sg.),care
der Betrieb,"firm, concern, plant, operation"
der Betriebsrat,workers' council
betrügenügt,cheat
das Bett,bed
betrunken,drunk
die Bevölkerung,population
bevor,before
bewegen,to move
die Bewegung,movement
beweisen,to prove
der Beweis,proof
sich bewerben,to apply for
die Bewerbung,application
der Bewohner,inhabitant
bezahlen,to pay
die Beziehung,"connection, relationship"
die Bibliothek,library
das Bier,beer
der Biergarten,beer garden
bieten,to offer
das Bild,picture
der Bildschirm,screen
billig,cheap
biologisch,biological
die Birne,pear
bis,until
ein bisschen,a bit
bitten,to request
die Bitte,request
bitte,you're welcome
bitter,"bitter, acridly"
blass,pale
das Blatt,"leaf, sheet"
blau,blue
bleiben,to stay
der Bleistift,pencil
der Blick,view
der Blitz,lightning
blond,blond
bloß,"only, merely"
blühenühtühteüht,"to bloom, blossom"
die Blume,flower
die Bluse,blouse
bluten,to bleed
das Blut (Sg.),blood
der Boden,floor
der Bogen,"curve, arch, bow"
die Bohne,bean
das Bonbon,sweet
das Boot,boat
die Botschaft,embassy
böse,"bad, evil, angry"
braten,to fry
der Braten,"roast, joint"
brauchen,to need
braun,brown
brechen,to break
breit,wide
die Breite,width
bremsen,to brake
die Bremse,brake
brennen,to burn
der Brief,letter
der Briefkasten,letter box
die Briefmarke,stamp
der Briefträger,postman
der Briefumschlag,envelope
die Brille,glasses
bringen,to bring
die Broschüre,brochure
das Brot,bread
das Brötchen,bread roll
die Brücke,bridge
der Bruder,brother
die Brustüste,"breast, chest"
das Buch,book
die Buchhandlung,bookshop
die Bücherei,library
buchen,to book
buchstabieren,to spell
der Buchstabe,letter (of the alphabet)
bunt,colourful
der Bürger,citizen
das Bürgerbüro,community office
der Bürgersteig,sidewalk
das Büro,office
die Bürste,brush
die Zahnbürste,toothbrush
der Bus,bus
die Butter (Sg.),butter
das Café,cafe
das Camping (Sg.),camping
die CD,CD
die CD-ROM,CD-ROM
die Chance,chance
chatten,to chat (internet)
der Chef,"head, boss"
die Chemie (Sg.),chemistry
circa,approximately
der Club,club
das Cola,cola
die Couch,couch
der Cousin,cousin
der Computer,computer
die Creme,cream
da,"there, here, then, so, as, since"
da sein,to be there
dabei sein,to be there
das Dach,roof
dafür,for it
dafür sein,be for it
dagegen sein,be against
daher,"from there, from that, that's why"
dahin,"go towards there, until then"
damals,at that time
die Dame,lady
damit,"with that, thereby"
danach,afterwards
daneben,beside it
danken,to thank
der Dank (Sg.),thanks (noun)
danke,thanks (thank you)
dankbar,"grateful, thankful"
dann,then
dass,that
die Datei,data folder
das Datum,date(s)
Daten,data
dauern,to last
die Decke,"ceiling, blanket"
die Demokratie,democracy
demokratisch,democratic
denken,to think
denn,then
derselbe,the same
deshalb,"therefore, that's why"
je … desto,the ... the
deswegen,that is why
deutlich,clearly
die Diät,diet
dicht,"dense, thick"
dick,"fat, thick"
der Dieb,thief
der Dienst,service
dies,this
der Diesel (Sg.),diesel
diesmal,this time
digital,digital
das Ding,thing
direkt,direct
der Direktor,director
die Diskothek,discotheque
diskutieren,to discuss
